"PORT_NAME","LATITUDE","LONGITUDE"
"hoodsport",47.416667,-123.133333
"port gamble",47.85,-122.583333
"poulsbo",47.733333,-122.65
"keyport",47.7,-122.616667
"winslow",47.616667,-122.516667
"creosote",47.616667,-122.5
"fort ward",47.583333,-122.516667
"east bremerton",47.566667,-122.616667
"silverdale",47.65,-122.7
"bremerton",47.566667,-122.65
"port orchard",47.533333,-122.633333
"quartermaster harbor",47.383333,-122.466667
"shelton",47.216667,-123.1
"olympia",47.05,-122.9
"nisqually head",47.116667,-122.75
"tacoma",47.283333,-122.416667
"seattle",47.6,-122.333333
"point wells",47.783333,-122.4
"edwards point",47.8,-122.4
"mukilteo",47.95,-122.3
"everett",48,-122.216667
"coupeville",48.233333,-122.683333
"richardson",48.45,-122.9
"warrenton",46.166667,-123.916667
"astoria",46.2,-123.833333
"tongue point",46.2,-123.75
"san francisco",37.816667,-122.416667
"yerbabuena island",37.816667,-122.366667
"redwood city",37.533333,-122.2
"alameda",37.783333,-122.266667
"oakland",37.816667,-122.333333
"berkeley",37.866667,-122.3
"point richmond",37.916667,-122.366667
"point san pablo",37.966667,-122.433333
"sausalito",37.85,-122.483333
"pinole point",38.016667,-122.366667
"oleum",38.05,-122.266667
"mare island",38.1,-122.266667
"south vallejo",38.083333,-122.25
"crockett",38.05,-122.216667
"port costa",38.05,-122.183333
"benicia",38.05,-122.15
"martinez",38.033333,-122.133333
"pittsburg",38.033333,-121.883333
"antioch",38.016667,-121.8
"stockton",37.95,-121.3
"rio vista",38.15,-121.7
"isleton",38.166667,-121.6
"walnut grove",38.233333,-121.516667
"courtland",38.333333,-121.566667
"sacramento",38.583333,-121.5
"bodega bay",38.333333,-123.05
"fort bragg",39.45,-123.816667
"fields landing",40.716667,-124.216667
"eureka",40.8,-124.183333
"samoa",40.816667,-124.183333
"crescent city",41.75,-124.2
"port orford",42.733333,-124.5
"bandon",43.116667,-124.416667
"prosper",43.15,-124.366667
"empire",43.4,-124.283333
"north bend",43.4,-124.216667
"coos bay",43.366667,-124.216667
"winchester bay",43.683333,-124.183333
"gardiner",43.716667,-124.1
"reedsport",43.7,-124.1
"florence",43.966667,-124.116667
"glenada",43.966667,-124.116667
"cushman",43.983333,-124.066667
"waldport",44.433333,-124.066667
"newport",44.633333,-124.05
"toledo",44.616667,-123.933333
"depoe bay",44.8,-124.066667
"ilwaco",46.3,-124.05
"princetown",37.5,-122.483333
"san diego",32.716667,-117.183333
"wilson cove",33,-118.55
"isthmus cove",33.45,-118.5
"avalon",33.35,-118.316667
"newport beach",33.616667,-117.9
"long beach",33.766667,-118.183333
"los angeles",33.75,-118.25
"el segundo",33.916667,-118.433333
"port hueneme",34.15,-119.2
"prisoners",34.016667,-119.683333
"ventura",34.283333,-119.283333
"carpinteria",34.383333,-119.516667
"santa barbara",34.416667,-119.683333
"ellwood",34.433333,-119.916667
"gaviota",34.466667,-120.2
"pismo beach",35.133333,-120.65
"port san luis",35.166667,-120.75
"morro bay",35.366667,-120.85
"monterey",36.616667,-121.883333
"moss landing",36.8,-121.783333
"santa cruz",36.966667,-122.016667
"davenport",37.016667,-122.2
"texas city",29.383333,-94.916667
"baytown",29.733333,-95.016667
"norsworthy",29.733333,-95.2
"pasadena",29.716667,-95.216667
"sinco",29.716667,-95.233333
"houston",29.75,-95.283333
"freeport",28.95,-95.333333
"palacios",28.683333,-96.216667
"port lavaca",28.616667,-96.616667
"port oconnor",28.45,-96.4
"rockport",28.016667,-97.05
"corpus christi",27.816667,-97.4
"port aransas",27.833333,-97.05
"port ingleside",27.816667,-97.183333
"port isabel",26.083333,-97.2
"brownsville",25.95,-97.4
"port neches",30,-93.95
"beaumont",30.083333,-94.083333
"galveston",29.316667,-94.783333
"jacksonville",30.316667,-81.65
"st augustine",29.9,-81.316667
"canaveral harbor",28.7,-80.616667
"fort pierce",27.466667,-80.316667
"palm beach",26.766667,-80.05
"port everglades",26.1,-80.116667
"miami",25.783333,-80.183333
"key west",24.55,-81.816667
"boca grande",26.7,-82.333333
"port manatee",27.633333,-82.566667
"tampa",27.916667,-82.45
"st petersburg",27.766667,-82.616667
"tarpon springs",28.15,-82.766667
"carrabelle",29.85,-84.666667
"apalachicola",29.716667,-84.983333
"port st joe",29.816667,-85.316667
"panama city",30.133333,-85.65
"pensacola",30.4,-87.216667
"mobile",30.683333,-88.116667
"pascagoula",30.35,-88.566667
"biloxi",30.383333,-88.883333
"gulfport",30.35,-89.083333
"slidell",30.266667,-89.783333
"madisonville",30.4,-90.15
"port sulphur",29.483333,-89.683333
"gretna",29.916667,-90.066667
"new orleans",29.95,-90.05
"port of memphis",35.066667,-90.166667
"st rose",29.95,-90.316667
"reserve",30.05,-90.55
"destrehan",29.95,-90.366667
"baton rouge",30.45,-91.183333
"loop terminal",28.883333,-90.016667
"grand isle",29.233333,-90
"morgan city",29.7,-91.216667
"haymark terminal",30.133333,-93.316667
"lake charles",30.216667,-93.25
"sabine",29.716667,-93.866667
"sabine pass",29.733333,-93.9
"orange",30.083333,-93.733333
"port arthur",29.833333,-93.966667
"brunswick",31.15,-81.5
"fernandina beach",30.683333,-81.466667
"mayport",30.4,-81.433333
"paulsboro",39.85,-75.25
"gloucester",39.9,-75.133333
"camden",39.95,-75.133333
"burlington",40.083333,-74.866667
"bristol",40.1,-74.85
"trenton",40.2,-74.766667
"ocean city",38.333333,-75.083333
"cape charles",37.266667,-76.016667
"salisbury",38.366667,-75.6
"havre de grace",39.533333,-76.083333
"baltimore",39.266667,-76.583333
"annapolis",38.983333,-76.483333
"solomons island",38.316667,-76.45
"washington d.c.",38.866667,-77.033333
"alexandria",38.8,-77.033333
"piney point",38.133333,-76.533333
"yorktown",37.233333,-76.5
"west point",37.533333,-76.8
"fredericksburg",38.3,-77.45
"norfolk",36.85,-76.3
